ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,65700.7646408081,18660,2507.904,5843416320,351106560,626976000,beef
834,United Republic of Tanzania,2,26247851.456510782,3600236.9999999874,486752.0424000004,1134132258792.001,68145285936.00005,121688010600.00009,beef
732,Western Sahara,3,0,0,0,0,0,0,beef
124,Canada,4,11502707.754066419,3538999.999999983,1295981.7999999973,3019637593999.9937,181437451999.99963,323995449999.9993,beef
840,United States of America,5,89117708.58621615,33366100.00000005,12388832.929999752,28865980726899.42,1734436610199.965,3097208232499.938,beef
398,Kazakhstan,6,6217458.202184066,2965051.999999979,521849.151999999,1215908524159.9978,73058881279.99986,130462287999.99976,beef
860,Uzbekistan,7,10997717.758542776,5320400.999999998,964588.7012999988,2247491674028.9976,135042418181.99985,241147175324.99973,beef
598,Papua New Guinea,8,90617.51635610312,21326.999999999985,3011.3723999999993,7016497691.999998,421592135.9999999,752843099.9999998,beef
360,Indonesia,9,13463902.415329047,1007596.0000000021,453418.1999999997,1056464405999.9994,63478547999.99996,113354549999.99992,beef
032,Argentina,10,51384877.71630686,13991414.999999993,3169055.4974999772,7383899309174.946,443667769649.9968,792263874374.9943,beef
152,Chile,11,2717896.833516758,874421.9999999988,223327.37879999974,520352792603.99945,31265833031.999966,55831844699.99994,beef
180,Democratic Republic of the Congo,12,1040170.1894979592,120949.99999999984,19037.529999999966,44357444899.99992,2665254199.999995,4759382499.999991,beef
706,Somalia,13,2494435.8277845383,510000.00000000006,54978.000000000204,128098740000.00047,7696920000.000029,13744500000.000051,beef
404,Kenya,14,18786836.57124746,1953734.0000000002,244216.75000000003,569025027500.0001,34190345000.000008,61054187500.000015,beef
729,Sudan,15,30272080.198768444,3571023.000000015,389598.60930000106,907764759669.0024,54543805302.000145,97399652325.00026,beef
148,Chad,16,25087297.318965383,3982029.0000000056,477843.47999999975,1113375308399.9993,66898087199.99996,119460869999.99992,beef
332,Haiti,17,1420762.8430786133,309416.99999999994,48764.119200000045,113620397736.00009,6826976688.000006,12191029800.00001,beef
214,Dominican Republic,18,2944189.396323204,490575.99999999994,66473.04799999992,154882201839.99982,9306226719.999989,16618261999.999979,beef
643,Russia,19,19266779.710322764,7862287.999999972,1633783.446400014,3806715430112.032,228729682496.00195,408445861600.0035,beef
044,The Bahamas,20,591.6591651439667,108.99999999999996,18.53000000000001,43174900.00000002,2594200.0000000014,4632500.000000002,beef
238,United Kingdom,21,0,0,0,0,0,0,beef
578,Norway,22,768432.2592165661,295680.0000000003,85303.67999999983,198757574399.9996,11942515199.999977,21325919999.999958,beef
304,Denmark,23,0,0,0,0,0,0,beef
260,France,24,0,0,0,0,0,0,beef
626,East Timor,25,192712.8278312683,13569.999999999998,1397.7100000000003,3256664300.0000005,195679400.00000003,349427500.00000006,beef
710,South Africa,26,13592621.975749373,3236307.99999999,1041443.9144000016,2426564320552.004,145802148016.00024,260360978600.00043,beef
426,Lesotho,27,451575.8581542969,10905.000000000013,1635.7500000000005,3811297500.000001,229005000.00000006,408937500.0000001,beef
484,Mexico,28,33377545.767445832,8405083.999999976,2081098.7984000046,4848960200272.011,291353831776.0006,520274699600.00116,beef
858,Uruguay,29,11967695.008026123,2006546.9999999944,510064.2474000005,1188449696442.0012,71408994636.00006,127516061850.00012,beef
076,Brazil,30,214770297.59410536,40849999.99999931,9975570.000000073,23243078100000.17,1396579800000.0103,2493892500000.0186,beef
068,Bolivia,31,9078638.673682887,1393189.999999993,276408.89600000106,644032727680.0024,38697245440.000145,69102224000.00026,beef
604,Peru,32,5563614.25054705,1250068.9999999965,183885.14989999996,428452399266.9999,25743920985.999992,45971287474.999985,beef
170,Colombia,33,22526934.52611078,3257033.000000005,743906.3372000009,1733301765676.002,104146887208.00012,185976584300.0002,beef
591,Panama,34,1508345.2181919664,326599.99999999994,71198.80000000002,165893204000.00003,9967832000.000002,17799700000.000004,beef
188,Costa Rica,35,1326372.844521284,390301.99999999977,89769.45999999989,209162841799.99976,12567724399.999985,22442364999.999973,beef
558,Nicaragua,36,5072028.820957661,828257,152896.2421999999,356248244325.9997,21405473907.999985,38224060549.99997,beef
340,Honduras,37,2792371.144903183,343054.0000000001,65008.73300000002,151470347890.00006,9101222620.000004,16252183250.000006,beef
222,El Salvador,38,1010315.1180114746,113126.00000000006,18722.353,43623082490,2621129420,4680588250,beef
320,Guatemala,39,3705813.190776348,1056962.9999999993,211392.6000000001,492544758000.00024,29594964000.000015,52848150000.00002,beef
084,Belize,40,96627.43655109406,7732.999999999998,1578.305300000001,3677451349.0000024,220962742.00000012,394576325.00000024,beef
862,Venezuela,41,16714899.804219201,1344608.0000000086,345967.6384000013,806104597472.003,48435469376.00018,86491909600.00032,beef
328,Guyana,42,106935.39079687,12385.000000000005,2926.5754999999986,6818920914.999996,409720569.99999976,731643874.9999996,beef
740,Suriname,43,37299.6273935996,9053,1783.4410000000012,4155417530.0000024,249681740.00000015,445860250.0000003,beef
250,France,44,19157811.926700644,4486479.999999984,1434776.3039999937,3343028788319.9854,200868682559.9991,358694075999.9984,beef
218,Ecuador,45,4101346.9199157916,1113551.0000000012,239413.46499999973,557833373449.9994,33517885099.99996,59853366249.99993,beef
630,United States of America,46,365317.34952545166,19299.00000000001,4890.366600000001,11394554178.000004,684651324.0000002,1222591650.0000005,beef
388,Jamaica,47,154168.21768188477,27438.999999999996,5937.7996,13835073068,831291944,1484449900,beef
192,Cuba,48,3981827.6635756493,392771.9999999999,66457.02240000003,154844862192.0001,9303983136.000006,16614255600.00001,beef
716,Zimbabwe,49,5357380.152396202,2299999.999999989,628820.0000000002,1465150600000.0005,88034800000.00003,157205000000.00006,beef
072,Botswana,50,1784551.51186347,156999.99999999968,31494.200000000106,73381486000.00024,4409188000.000015,7873550000.000027,beef
516,Namibia,51,2833770.43162328,91762.00000000015,24775.73999999995,57727474199.999886,3468603599.999993,6193934999.999988,beef
686,Senegal,52,3436581.223567486,475566.0000000004,87504.14399999997,203884655519.99994,12250580159.999996,21876035999.999992,beef
466,Mali,53,10356614.107567813,605311.0000000002,71245.10470000008,166001093951.00018,9974314658.000011,17811276175.00002,beef
478,Mauritania,54,1939002.3028400186,240230.99999999974,31061.86829999999,72374153138.99997,4348661561.999998,7765467074.999997,beef
204,Benin,55,2236700.692097664,154408.00000000003,32935.22639999996,76739077511.99992,4610931695.999995,8233806599.999991,beef
562,Niger,56,12263785.750875786,216998.99999999977,63146.70900000002,147131831970.00003,8840539260.000002,15786677250.000004,beef
566,Nigeria,57,19943550.48248528,3237644.999999989,329592.2610000016,767949968130.0038,46142916540.00023,82398065250.00041,beef
120,Cameroon,58,5926156.918845862,811166.9999999953,109994.24519999996,256286591315.99988,15399194327.999992,27498561299.99999,beef
768,Togo,59,452231.42724990845,49978.00000000012,5852.4238,13636147453.999998,819339331.9999999,1463105949.9999998,beef
288,Ghana,60,1758594.3488154411,279734.00000000023,29008.415800000075,67589608814.00018,4061178212.000011,7252103950.000019,beef
384,Ivory Coast,61,1542946.9449757338,206720,22325.759999999977,52019020799.99995,3125606399.9999967,5581439999.999994,beef
324,Guinea,62,6295652.312432289,585999.9999999988,63874.000000000146,148826420000.00034,8942360000.00002,15968500000.000036,beef
624,Guinea-Bissau,63,663755.7390365601,64447.00000000003,7379.181500000002,17193492895.000008,1033085410.0000005,1844795375.0000007,beef
430,Liberia,64,42062.779444471,9058.999999999995,1132.3749999999993,2638433749.999998,158532499.99999988,283093749.9999998,beef
694,Sierra Leone,65,650907.4481806159,39431.00000000004,9956.327499999992,23198243074.99998,1393885849.999999,2489081874.999998,beef
854,Burkina Faso,66,9280977.119297981,932653.9999999995,123390.1242000001,287498989386.00024,17274617388.000015,30847531050.000023,beef
140,Central African Republic,67,4399422.342644617,618331.0000000001,100355.12130000001,233827432629.00003,14049716982.000002,25088780325.000004,beef
178,Republic of the Congo,68,328367.5530890785,35467.00000000001,5252.662700000005,12238704091.000011,735372778.0000007,1313165675.0000012,beef
266,Gabon,69,39036.068898528814,8007.000000000011,907.9938000000019,2115625554.0000043,127119132.00000027,226998450.00000048,beef
226,Equatorial Guinea,70,6099.422631293535,438.9999999999998,48.29000000000005,112515700.0000001,6760600.0000000065,12072500.000000011,beef
894,Zambia,71,3841802.2601204664,1107495.0000000002,178971.19199999998,417002877359.99994,25055966879.999996,44742797999.99999,beef
454,Malawi,72,1523189.5015550256,529461.0000000003,56281.704299999976,131136371018.99994,7879438601.999996,14070426074.999994,beef
508,Mozambique,73,1952900.2831034975,107028.00000000007,15101.650800000007,35186846364.000015,2114231112.000001,3775412700.0000014,beef
748,eSwatini,74,613616.784362793,73801,16619.985200000003,38724565516.00001,2326797928.0000005,4154996300.000001,beef
024,Angola,75,4871408.210296288,636645.9999999999,106447.21119999995,248022002095.99988,14902609567.999992,26611802799.99999,beef
108,Burundi,76,819505.1434249878,52300.99999999995,10706.014699999996,24945014250.99999,1498842057.9999993,2676503674.999999,beef
376,Israel,77,524909.8793613128,429317.00000000006,138712.3227000001,323199711891.00024,19419725178.000015,34678080675.00002,beef
422,Lebanon,78,81391.17331695557,212890.0000000001,44855.92299999997,104514300589.99994,6279829219.999996,11213980749.999994,beef
450,Madagascar,79,10157735.795645714,270203.0000000007,33775.37500000009,78696623750.00021,4728552500.000012,8443843750.000022,beef
275,Israel,80,19808.474548339844,36091.99999999999,9030.2184,21040408872,1264230576,2257554600,beef
270,Gambia,81,547305.4108886719,20455.999999999996,2454.719999999999,5719497599.999997,343660799.9999998,613679999.9999998,beef
788,Tunisia,82,684565.7340194748,230380.9999999999,49393.68640000009,115087289312.00023,6915116096.000013,12348421600.000023,beef
012,Algeria,83,2117695.0231677033,641395.0000000005,144249.7355000007,336101883715.00165,20194962970.0001,36062433875.000175,beef
400,Jordan,84,70570.39671517303,190585.9999999998,45797.81580000007,106708910814.00017,6411694212.00001,11449453950.000017,beef
784,United Arab Emirates,85,107463.54441177845,72350,18087.5,42143875000,2532250000,4521875000,beef
634,Qatar,86,16334.847342014313,12600.000000000002,1512.0000000000002,3522960000.0000005,211680000.00000003,378000000.00000006,beef
414,Kuwait,87,24348.498303741217,7270.000000000002,2111.9350000000004,4920808550.000001,295670900.00000006,527983750.0000001,beef
368,Iraq,88,1819126.0715828575,153130.99999999919,32494.398200000058,75711947806.00014,4549215748.000009,8123599550.000015,beef
512,Oman,89,371839.75361171993,117948.00000000012,15333.240000000009,35726449200.00002,2146653600.0000012,3833310000.0000024,beef
548,Vanuatu,90,86399.814208984375,8909,1742.6003999999998,4060258931.999999,243964055.99999994,435650099.9999999,beef
116,Cambodia,91,2829310.638375163,463972.00000000047,55676.640000000014,129726571200.00003,7794729600.000002,13919160000.000004,beef
764,Thailand,92,4726695.257769465,924793.9999999997,125402.0663999998,292186814711.9996,17556289295.999973,31350516599.999954,beef
418,Laos,93,1811658.1546108872,299003.99999999936,38272.511999999995,89174952959.99998,5358151679.999999,9568127999.999998,beef
104,Myanmar,94,15826316.33289522,1040818.9999999987,108765.58549999996,253423814214.99988,15227181969.999992,27191396374.99999,beef
704,Vietnam,95,5316614.677521773,1869043.000000002,205407.82570000028,478600233881.0007,28757095598.00004,51351956425.00007,beef
408,North Korea,96,604900.6211242676,140060,21009.000000000015,48950970000.00004,2941260000.000002,5252250000.000004,beef
410,South Korea,97,3217702.4152240753,902999.9999999998,291036.8999999993,678115976999.9984,40745165999.99991,72759224999.99983,beef
496,Mongolia,98,3747570.5807928396,1319565.9999999972,158479.87659999955,369258112477.99896,22187182723.999935,39619969149.999886,beef
356,India,99,190789154.0654232,0,0,0,0,0,beef
050,Bangladesh,100,22939526.087387085,2755231.9999999953,198927.75040000016,463501658432.00037,27849885056.000023,49731937600.00004,beef
064,Bhutan,101,298766.22771787643,6767.000000000004,697.0009999999997,1624012329.9999993,97580139.99999996,174250249.99999994,beef
524,Nepal,102,0,0,0,0,0,0,beef
586,Pakistan,103,41489202.34113109,9057000.000000026,1179221.399999998,2747585861999.9956,165090995999.99973,294805349999.9995,beef
004,Afghanistan,104,5317826.398618281,592410.0000000003,91645.82700000003,213534776910.0001,12830415780.000006,22911456750.000008,beef
762,Tajikistan,105,2147327.2268425226,839999.9999999991,269975.9999999992,629044079999.9982,37796639999.999886,67493999999.999794,beef
417,Kyrgyzstan,106,1530876.1792451888,524999.9999999993,114450.0000000002,266668500000.0005,16023000000.00003,28612500000.000053,beef
795,Turkmenistan,107,2217003.8849410564,1036668.0000000014,177062.8944000001,412556543952.00024,24788805216.000015,44265723600.00002,beef
364,Iran,108,4509896.160090148,1169843.0000000014,249878.4648000001,582216822984.0002,34982985072.000015,62469616200.00002,beef
760,Syria,109,1069494.4182338715,431737.99999999994,64372.13580000008,149987076414.00015,9012099012.00001,16093033950.000017,beef
051,Armenia,110,620683.2113399506,543630.9999999999,68280.0536,159092524888,9559207504,17070013400,beef
752,Sweden,111,1304588.243631543,443689.9999999994,142513.2279999999,332055821239.9997,19951851919.999985,35628306999.99997,beef
112,Belarus,112,4361416.730096698,1496778.0000000037,340217.6393999998,792707099801.9995,47630469515.99997,85054409849.99995,beef
804,Ukraine,113,3863729.166646719,1987599.9999999984,345444.88000000216,804886570400.005,48362283200.0003,86361220000.00053,beef
616,Poland,114,5905435.03149271,1852750.0000000044,559530.4999999998,1303706064999.9995,78334269999.99997,139882624999.99994,beef
040,Austria,115,2071610.0029945374,644650.000000001,218342.95499999996,508739085149.9999,30568013699.999992,54585738749.999985,beef
348,Hungary,116,793467.2518723011,111460.00000000016,29146.79000000002,67912020700.00004,4080550600.0000024,7286697500.000005,beef
498,Moldova,117,201675.56115221977,58474.99999999994,7882.4299999999885,18366061899.999973,1103540199.9999983,1970607499.9999971,beef
642,Romania,118,2081048.6417360306,623900.0000000001,87470.77999999982,203806917399.99957,12245909199.999975,21867694999.999954,beef
440,Lithuania,119,741389.6148219109,162460.0000000001,43409.311999999976,101143696959.99994,6077303679.999996,10852327999.999994,beef
428,Latvia,120,434932.3110771179,80150.00000000006,16029.99999999998,37349899999.999954,2244199999.999997,4007499999.9999948,beef
233,Estonia,121,258226.9680507183,38630.00000000001,9580.239999999994,22321959199.999985,1341233599.999999,2395059999.9999986,beef
276,Germany,122,12570347.472302437,3281249.999999994,1091999.9999999946,2544359999999.988,152879999999.99927,272999999999.99866,beef
100,Bulgaria,123,556814.2880892754,113359.99999999984,17128.69599999998,39909861679.99996,2398017439.9999976,4282173999.9999957,beef
300,Greece,124,578076.5650115609,144590.00000000026,34744.97699999991,80955796409.99979,4864296779.999988,8686244249.999977,beef
792,Turkey,125,14172872.915503502,4812901.999999978,1341355.7874000028,3125358984642.007,187789810236.0004,335338946850.00073,beef
008,Albania,126,496620.45888614655,283436.9999999997,32878.69200000002,76607352360.00005,4603016880.000003,8219673000.000005,beef
191,Croatia,127,453249.46570426226,169650.0000000001,43362.53999999997,101034718199.99992,6070755599.999996,10840634999.999992,beef
756,Switzerland,128,1678706.9632463455,605109.0000000002,144379.0074000003,336403087242.0007,20213061036.00004,36094751850.00007,beef
442,Luxembourg,129,178011.24920654297,27980.000000000007,10338.609999999997,24088961299.999992,1447405399.9999995,2584652499.999999,beef
056,Belgium,130,2464734.087225914,782649.9999999991,254517.77999999988,593026427399.9998,35632489199.999985,63629444999.99998,beef
528,Netherlands,131,4286269.286819458,2088559.999999998,432749.63200000016,1008306642560.0005,60584948480.00003,108187408000.00005,beef
620,Portugal,132,1551409.330446899,393310,97776.86599999997,227820097779.9999,13688761239.999994,24444216499.999992,beef
724,Spain,133,6083925.36973159,2422409.999999996,677790.3180000013,1579251440940.003,94890644520.00017,169447579500.0003,beef
372,Ireland,134,6194683.253128946,1881889.999999997,633444.174,1475924925420,88682184360,158361043500,beef
540,France,135,84878.09961867332,14557.000000000002,2979.8179,6942975707,417174506,744954475,beef
090,Solomon Islands,136,11393.64391708374,4119,762.0150000000002,1775494950.0000005,106682100.00000003,190503750.00000006,beef
554,New Zealand,137,9872454.742196083,4624322.999999988,726481.1433000003,1692701063889.001,101707360062.00006,181620285825.0001,beef
036,Australia,138,27085105.15689053,7558899.999999973,2124806.7899999875,4950799820699.971,297472950599.9982,531201697499.9968,beef
144,Sri Lanka,139,1031179.773984909,162481.00000000012,20683.831300000034,48193326929.000084,2895736382.000005,5170957825.000009,beef
156,China,140,63027463.252838075,46650000.00000015,6722265.000000013,15662877450000.03,941117100000.0018,1680566250000.0032,beef
158,Taiwan,141,133674.26959106326,37932.99999999998,7283.136000000004,16969706880.00001,1019639040.0000006,1820784000.0000012,beef
380,Italy,142,5751218.968315065,2694339.9999999977,732321.6119999989,1706309355959.9976,102525025679.99985,183080402999.99973,beef
208,Denmark,143,1434545.8899611235,451600.0000000003,122112.63999999987,284522451199.9997,17095769599.99998,30528159999.999966,beef
826,United Kingdom,144,9416759.529370308,2826000.000000007,932014.8000000011,2171594484000.0027,130482072000.00015,233003700000.00027,beef
352,Iceland,145,71083.22403845191,21462.00000000001,4652.961600000006,10841400528.000013,651414624.0000008,1163240400.0000014,beef
031,Azerbaijan,146,2489982.0134658813,1279494.999999997,143047.54099999994,333300770529.9998,20026655739.99999,35761885249.999985,beef
268,Georgia,147,970019.288079977,216363.99999999977,20100.215600000007,46833502348.000015,2814030184.000001,5025053900.000002,beef
608,Philippines,148,2186954.730213167,799603.0000000016,114583.10989999986,266978646066.99966,16041635385.99998,28645777474.999966,beef
458,Malaysia,149,733626.2648960203,117600.99999999988,34833.41620000002,81161859746.00006,4876678268.000004,8708354050.000006,beef
096,Brunei,150,1549.4638954997063,7647,1870.4561999999996,4358162945.999999,261863867.99999994,467614049.9999999,beef
705,Slovenia,151,464124.8837928772,118120.00000000001,36499.08000000001,85042856400.00003,5109871200.000002,9124770000.000004,beef
246,Finland,152,899901.6126640593,264799.9999999994,87119.19999999997,202987735999.9999,12196687999.999994,21779799999.999992,beef
703,Slovakia,153,444221.7824566364,37049.999999999956,10918.635000000002,25440419550.000004,1528608900.0000002,2729658750.0000005,beef
203,Czechia,154,1442666.1416168213,240529.9999999999,74299.71699999998,173118340609.99994,10401960379.999996,18574929249.999992,beef
232,Eritrea,155,2049443.1356320381,239705.99999999997,24306.188399999992,56633418971.99998,3402866375.9999986,6076547099.999998,beef
392,Japan,156,3630992.9421852827,1064111.0000000012,477466.60570000083,1112497191281.002,66845324798.00012,119366651425.00021,beef
600,Paraguay,157,14227592.228180885,2123870.999999999,515675.8788000007,1201524797604.0015,72194623032.00009,128918969700.00017,beef
887,Yemen,158,1750347.392253831,1203350.0000000016,72201.00000000003,168228330000.00006,10108140000.000004,18050250000.000008,beef
682,Saudi Arabia,159,354384.78624043637,209499.99999999933,39993.550000000025,93184971500.00006,5599097000.000004,9998387500.000006,beef
010,Antarctica,160,0,0,0,0,0,0,beef
-99,Northern Cyprus,161,0,0,0,0,0,0,beef
196,Cyprus,162,35891.6198387146,15320.000000000002,4640.428000000002,10812197240.000004,649659920.0000002,1160107000.0000005,beef
504,Morocco,163,3248224.856709479,1301769.9999999974,281963.38199999963,656974680059.9991,39474873479.99995,70490845499.99991,beef
818,Egypt,164,4801223.94618953,1245000.0000000007,402010.5000000008,936684465000.0018,56281470000.000114,100502625000.0002,beef
434,Libya,165,174041.5862198327,35670.00000000002,7009.154999999994,16331331149.999987,981281699.9999992,1752288749.9999986,beef
231,Ethiopia,166,58083713.14499283,4104758.999999988,445776.8273999998,1038660007841.9995,62408755835.99997,111444206849.99995,beef
262,Djibouti,167,299609.4732284546,56953.00000000004,6122.447500000005,14265302675.00001,857142650.0000006,1530611875.0000012,beef
-99,Somaliland,168,0,0,0,0,0,0,beef
800,Uganda,169,14076861.733589001,1164349,189788.8869999999,442208106709.99976,26570444179.999985,47447221749.99998,beef
646,Rwanda,170,1273342.8237724304,476695.00000000006,41758.481999999996,97297263059.99998,5846187479.999999,10439620499.999998,beef
070,Bosnia and Herzegovina,171,451430.7507209778,56596.999999999935,14466.193200000002,33706230156.000008,2025267048.0000005,3616548300.000001,beef
807,North Macedonia,172,250357.19820976257,18999.999999999993,3885.4999999999977,9053214999.999994,543969999.9999996,971374999.9999994,beef
688,Republic of Serbia,173,697976.3544692993,308913.0000000006,66910.55579999999,155901595013.99997,9367477811.999998,16727638949.999996,beef
499,Montenegro,174,96911.12818336487,28758.000000000004,6010.422,14004283259.999998,841459079.9999999,1502605499.9999998,beef
-99,Kosovo,175,0,0,0,0,0,0,beef
780,Trinidad and Tobago,176,33598.02485656738,6790,1199.793,2795517689.9999995,167971019.99999997,299948249.99999994,beef
728,South Sudan,177,11800884.71915109,964884.0000000012,136531.08599999992,318117430379.9998,19114352039.99999,34132771499.99998,beef
